product_id,current_stock,reorder_level,last_updated
1,207,43,2025-12-20 07:23:56.708186
2,117,45,2025-12-20 07:23:56.708186
3,186,47,2025-12-20 07:23:56.708186
4,4,56,2025-12-20 07:23:56.708186
5,59,42,2025-12-20 07:23:56.708186
6,306,43,2025-12-20 07:23:56.708186
7,304,35,2025-12-20 07:23:56.708186
8,226,55,2025-12-20 07:23:56.708186
9,357,42,2025-12-20 07:23:56.708186
10,369,22,2025-12-20 07:23:56.708186
11,229,79,2025-12-20 07:23:56.708186
12,294,65,2025-12-20 07:23:56.708186
13,243,71,2025-12-20 07:23:56.708186
14,21,27,2025-12-20 07:23:56.708186
15,256,61,2025-12-20 07:23:56.708186
16,117,74,2025-12-20 07:23:56.708186
17,261,60,2025-12-20 07:23:56.708186
18,43,61,2025-12-20 07:23:56.708186
19,154,57,2025-12-20 07:23:56.708186
20,223,33,2025-12-20 07:23:56.708186
21,150,72,2025-12-20 07:23:56.708186
22,376,79,2025-12-20 07:23:56.708186
23,158,27,2025-12-20 07:23:56.708186
24,384,72,2025-12-20 07:23:56.708186
25,330,70,2025-12-20 07:23:56.708186
26,117,52,2025-12-20 07:23:56.708186
27,278,65,2025-12-20 07:23:56.708186
28,86,56,2025-12-20 07:23:56.708186
29,251,32,2025-12-20 07:23:56.708186
30,204,37,2025-12-20 07:23:56.708186
31,193,22,2025-12-20 07:23:56.708186
32,228,53,2025-12-20 07:23:56.708186
33,220,48,2025-12-20 07:23:56.708186
34,88,49,2025-12-20 07:23:56.708186
35,42,47,2025-12-20 07:23:56.708186
36,306,39,2025-12-20 07:23:56.708186
37,223,41,2025-12-20 07:23:56.708186
38,306,76,2025-12-20 07:23:56.708186
39,363,36,2025-12-20 07:23:56.708186
40,198,28,2025-12-20 07:23:56.708186
41,69,59,2025-12-20 07:23:56.708186
42,8,28,2025-12-20 07:23:56.708186
43,188,70,2025-12-20 07:23:56.708186
44,147,69,2025-12-20 07:23:56.708186
45,306,55,2025-12-20 07:23:56.708186
46,242,54,2025-12-20 07:23:56.708186
